artist_name,end_time,ms_played,track_name,track_id
Caribou,14/12/2020 9:41,530,Never Come Back,0QEG3NGmWatNOIAVxudQfd
Kid Cudi,14/12/2020 9:41,630,The Pale Moonlight,4EjbAh7YHU3VARkfkamZ8R
Kid Cudi,14/12/2020 9:41,740,Lord I Know,7f2voPcnDEAzX4yB8SLnU2
Kid Cudi,14/12/2020 9:41,570,The Void,
Kid Cudi,14/12/2020 9:41,4750,"Solo Dolo, Pt. III",
ATM Curly,14/12/2020 9:45,246256,Ride With Me,
Kid Cudi,14/12/2020 9:49,199786,Another Day,
Kid Cudi,14/12/2020 9:51,118117,"Solo Dolo, Pt. III",27oVCAziETRbNuo5A8LNpg
Lil Nas X,14/12/2020 9:53,148653,C7osure (You Like),4no0eHn4fEB7tN1yZSXMma
Caribou,14/12/2020 9:56,7342,Never Come Back,0QEG3NGmWatNOIAVxudQfd
Baby Keem,14/12/2020 9:56,156774,hooligan,02iYJG3KLBJODa5JkQ4O6y
BEAM,14/12/2020 9:58,132182,Cactus,1t741g1kw8T5lvupCmgddl
Billz Raw,14/12/2020 10:00,94427,Money Up,3AjcVMOBCmdqHciNuPmWhV
$NOT,14/12/2020 10:01,60720,GOSHA,0j8ppsOOawdPCJnSTcXgOy
Slyte,14/12/2020 10:02,105840,Late Pass (feat. Dominic Fike),5KrhLD0kGwxAExfPBaJXKb
Beast Coast,14/12/2020 10:06,45950,"Far Away (feat. Kirk Knight, Meechy Darko, Erick The Architect & Nyck Caution)",10nbIPV2SRLqEjIpvS8CVb
Mustard,14/12/2020 11:05,174100,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo
Don Toliver,14/12/2020 11:07,167915,After Party,527k23H0A4Q0UJN3vGs0Da
A$AP Rocky,14/12/2020 11:11,205040,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z
Fetty Wap,14/12/2020 11:14,188041,Birthday (feat. Monty),3VN7XvP708u6V9U0CxOlzi
Tory Lanez,14/12/2020 11:17,173926,Freaky,7EAaSaj1OgZgMX5yZyFXFC
Aminé,14/12/2020 11:19,121346,REEL IT IN,5qHirGR7M9tdm6C17DlzSY
Metro Boomin,14/12/2020 11:22,208293,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ
Afroman,14/12/2020 11:28,328666,Crazy Rap (Colt 45 & 2 Zig Zags),
DJ Khaled,14/12/2020 11:29,41446,GREECE (feat. Drake),
JACKBOYS,14/12/2020 11:32,185306,WHAT TO DO? (feat. Don Toliver),
21 Savage,14/12/2020 11:35,195046,ball w/o you,
NAV,14/12/2020 11:39,217775,Price On My Head (feat. The Weeknd),4hqOmrCCJKyiuwDexd8c2t
Rick Ross,14/12/2020 11:41,153847,Gold Roses (feat. Drake),1rX5L6pyl3rVWb55D8Cprr
Don Toliver,14/12/2020 11:44,157133,Had Enough (feat. Quavo & Offset),7LGWmZaoS7jZJ5tEi9EcDi
Cordae,14/12/2020 11:46,124790,Bad Idea (feat. Chance the Rapper),5yK37zazHUe3WxEvymZs20
Cordae,14/12/2020 11:49,175827,RNP (feat. Anderson .Paak),5lw8Mgb4LyhriPIC86gV6e
Cordae,14/12/2020 11:57,46920,Have Mercy,0GwYkXgQdqY4dyRffHw3HT
Gunna,14/12/2020 12:01,197760,DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG
Don Toliver,14/12/2020 12:03,140063,Best You Had,4k7dYdLGhJuUjaeEQB5hcA
Lil Tecca,14/12/2020 12:05,131240,Ransom,1lOe9qE0vR9zwWQAOk6CoO
Jack Harlow,14/12/2020 12:07,89489,WHATS POPPIN,1jaTQ3nqY3oAAYyCTbIvnM
A Boogie Wit da Hoodie,14/12/2020 12:10,189486,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6
Swae Lee,14/12/2020 12:14,218709,Won't Be Late (feat. Drake),2sqsNXfN0HtgDEgaHXiUTa
Quality Control,14/12/2020 12:14,3378,Baby (Lil Baby feat. DaBaby),5MPPttjfGap2C6j6eKcO6J
Dreamville,14/12/2020 12:14,3631,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",
PARTYNEXTDOOR,14/12/2020 12:17,197973,LOYAL (feat. Drake),
NAV,14/12/2020 12:17,25169,Tap (feat. Meek Mill),
J. Cole,14/12/2020 12:18,63367,The London (feat. J. Cole & Travis Scott),
Ty Dolla $ign,14/12/2020 12:21,163754,Purple Emoji (feat. J. Cole),
Metro Boomin,14/12/2020 12:25,203266,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz
03 Greedo,14/12/2020 12:28,221395,Trap House (feat. Shoreline Mafia),1nq3DVmmYHGmO0NrAJdvnl
DJ Khaled,14/12/2020 12:32,200221,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq
Travis Scott,14/12/2020 12:34,164131,Hot (Remix) [feat. Gunna and Travis Scott],4ea9w8c4ROqiZpJVhfBA3m
A$AP Ferg,14/12/2020 12:35,12573,Jet Lag,2hyF1YWdX8yxExvRelT9nB
Roddy Ricch,14/12/2020 12:37,166359,Down Below,4SWWe2OYC4mqf40Gc2RSdl
YG,14/12/2020 12:41,227906,Hard Bottoms & White Socks,6CX0WrNFDyA5xM3wqWFAZV
Big Sean,14/12/2020 12:44,174656,Single Again,7IP0lO9tHfNwBWZ9X6TJ84
YG,14/12/2020 12:44,13188,"Go Loko (feat. Tyga, Jon Z)",1kK6DwzyXJSp58u5HYWwuD
NAV,14/12/2020 12:47,167543,Champion (feat. Travis Scott),6nO3tr47nr2P7f3hXb8JIo
Roddy Ricch,14/12/2020 12:47,15313,Start Wit Me (feat. Gunna),7A20WnLkjtZU2d7hIB6Ziu
Future,14/12/2020 12:47,6280,Codeine Crazy,0joQFwiBKmi6X1Iq5R1ubH
Roddy Ricch,14/12/2020 12:49,100623,High Fashion (feat. Mustard),07KXEDMj78x68D884wgVEm
A$AP Rocky,14/12/2020 12:52,158205,Sundress,2aPTvyE09vUCRwVvj0I8WK
Future,14/12/2020 12:53,90525,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc
Beast Coast,14/12/2020 19:22,142349,"Far Away (feat. Kirk Knight, Meechy Darko, Erick The Architect & Nyck Caution)",
RIN,14/12/2020 19:23,61180,Aretha Franklin Freestyle,
Westside Gunn,14/12/2020 19:24,61450,327,
Amber Mark,14/12/2020 19:27,186202,Lose My Cool - Couros Remix,5SfNtcZeacegF9JSuqe8HQ
ATM Curly,14/12/2020 19:32,246256,Ride With Me,2foDaqiGEPFeYN2ecxLHZU
Pi’erre Bourne,14/12/2020 19:36,135510,Poof,4k95J448xydiVtD4PXMvpY
Alex Wiley,14/12/2020 19:38,120760,Hope Against Hope,7IPYvlNAQz4YEEFe1L372g
Reaper,14/12/2020 19:44,132370,HEADY,7whm7HQKG3d6oLYWgc0kf8
Reaper,14/12/2020 20:31,24300,HEADY,7whm7HQKG3d6oLYWgc0kf8
Amber Mark,14/12/2020 20:34,186202,Lose My Cool - Couros Remix,5SfNtcZeacegF9JSuqe8HQ
BEAM,14/12/2020 20:36,132182,Cactus,1t741g1kw8T5lvupCmgddl
Lil Nas X,14/12/2020 20:38,148653,C7osure (You Like),4no0eHn4fEB7tN1yZSXMma
ATM Curly,14/12/2020 20:40,42071,Ride With Me,2foDaqiGEPFeYN2ecxLHZU
Kid Cudi,14/12/2020 22:22,199786,Another Day,6myUpr3GDR80Dg3zqNTmmG
Kid Cudi,14/12/2020 22:26,242266,"Solo Dolo, Pt. III",27oVCAziETRbNuo5A8LNpg
Kid Cudi,14/12/2020 22:29,200936,Lord I Know,7f2voPcnDEAzX4yB8SLnU2
Kid Cudi,14/12/2020 22:31,58660,The Pale Moonlight,4EjbAh7YHU3VARkfkamZ8R
Future,15/12/2020 22:12,3239,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc
Amber Mark,16/12/2020 7:47,3111,Lose My Cool - Couros Remix,5SfNtcZeacegF9JSuqe8HQ
Amber Mark,16/12/2020 7:52,257022,Lose My Cool - Couros Remix,5SfNtcZeacegF9JSuqe8HQ
BEAM,16/12/2020 7:54,132182,Cactus,
Lil Nas X,16/12/2020 7:57,148653,C7osure (You Like),
ATM Curly,16/12/2020 7:59,99050,Ride With Me,
Amber Mark,16/12/2020 11:27,67012,Lose My Cool - Couros Remix,
Reaper,16/12/2020 11:29,165093,HEADY,
Chef,16/12/2020 11:33,181928,Rags,7p2mwDoEBIQw927JW59cwE
Drake,16/12/2020 11:36,234175,Let’s Call It Off (feat. Peter Bjorn and John),4FDSPGncHRpr6yB8DD4CtI
Billz Raw,16/12/2020 11:37,63491,Money Up,3AjcVMOBCmdqHciNuPmWhV
Pi’erre Bourne,16/12/2020 11:38,31764,Poof,4k95J448xydiVtD4PXMvpY
Sybyr,16/12/2020 11:40,84912,Then We Get Nast(y),2DzeiTzoepS5zf0myVGHDo
Kid Cudi,16/12/2020 15:12,87658,Lord I Know,7f2voPcnDEAzX4yB8SLnU2
Kid Cudi,17/12/2020 0:18,44123,Tequila Shots,30KctD1WsHKTIYczXjip5a
Lil Nas X,17/12/2020 13:39,148653,C7osure (You Like),4no0eHn4fEB7tN1yZSXMma
Amber Mark,17/12/2020 13:42,186203,Lose My Cool - Couros Remix,5SfNtcZeacegF9JSuqe8HQ
Kid Cudi,17/12/2020 13:44,138350,Tequila Shots,30KctD1WsHKTIYczXjip5a
Kid Cudi,18/12/2020 8:02,152740,Lord I Know,7f2voPcnDEAzX4yB8SLnU2
Kid Cudi,18/12/2020 8:03,47140,Elsie's Baby Boy (flashback),6jiwr6xTHqjdun5d3cEwXV
Kendrick Lamar,18/12/2020 8:06,2696,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS
Kid Cudi,18/12/2020 8:06,193293,Tequila Shots,30KctD1WsHKTIYczXjip5a
MGMT,18/12/2020 8:06,10160,Electric Feel,3FtYbEfBqAlGO46NUDQSAt
BEAM,18/12/2020 8:09,3447,Cactus,
Amber Mark,18/12/2020 8:09,186202,Lose My Cool - Couros Remix,
Lil Nas X,18/12/2020 8:12,148653,C7osure (You Like),
ATM Curly,18/12/2020 8:16,246256,Ride With Me,
Kid Cudi,18/12/2020 8:19,180000,Another Day,
Kid Cudi,18/12/2020 8:23,242266,"Solo Dolo, Pt. III",27oVCAziETRbNuo5A8LNpg
Kid Cudi,18/12/2020 8:26,210893,Lord I Know,7f2voPcnDEAzX4yB8SLnU2
Caribou,18/12/2020 8:27,2450,Never Come Back,0QEG3NGmWatNOIAVxudQfd
Kid Cudi,18/12/2020 8:27,59540,The Pale Moonlight,4EjbAh7YHU3VARkfkamZ8R
Kid Cudi,18/12/2020 8:27,1270,The Void,2yg7MXp8nSPaf61HVkhEr3
Seekae,18/12/2020 8:31,1050,Test & Recognise - Flume Re-work,24BYTj1tb5ovZcnIbtdTYD
Roddy Ricch,18/12/2020 8:31,224002,Down Below,4SWWe2OYC4mqf40Gc2RSdl
Meek Mill,18/12/2020 8:31,1160,Blue Notes,7Gs3otHnZDq514kFHf0nx7
A Boogie Wit da Hoodie,18/12/2020 8:31,900,Skeezers,2A4vCndSkZ3jd5nfh3a8gc
Shango,18/12/2020 8:31,1240,Ride,4jQhEKanDVqaYV8fbwrz0j
Petit Biscuit,18/12/2020 8:31,2587,Parachute,2XZn85D188f2bGdV3zmmrF
DROELOE,18/12/2020 8:31,920,Only Be Me,6WXZyYSwlXS5qXISwsKYXE
Baby Keem,18/12/2020 8:31,960,hooligan,02iYJG3KLBJODa5JkQ4O6y
Kanye West,18/12/2020 8:31,930,Amazing,0m3Ze0cy8qBHSsV2exAfCw
Famous Dex,18/12/2020 8:31,1190,JAPAN,5PTG6rrL6EPFD9E2QMI2pl
Petit Biscuit,18/12/2020 8:31,670,Burnin,5D246C2tLKCTeZgcsRfvcA
Jack Harlow,18/12/2020 8:34,156497,Tyler Herro,
A$AP Rocky,18/12/2020 8:37,158205,Sundress,
Two Feet,18/12/2020 8:37,2986,Love Is a Bitch,
Drake,18/12/2020 8:43,394148,Pound Cake / Paris Morton Music 2,
$NOT,18/12/2020 14:11,120000,GOSHA,
Nujabes,18/12/2020 14:14,175360,Feather (feat. Cise Starr & Akin from CYNE),2ej1A2Ze6P2EOW7KfIosZR
MIDNIGHT ERA,18/12/2020 14:16,141913,Han Solo,7DKbt4XInfjR3lqY41BsUa
RIN,18/12/2020 14:19,184586,Aretha Franklin Freestyle,5hKM3DaySvongkyGdvhacX
Pi’erre Bourne,18/12/2020 14:20,29042,Poof,4k95J448xydiVtD4PXMvpY
Pi’erre Bourne,18/12/2020 16:08,154325,Poof,4k95J448xydiVtD4PXMvpY
Chef,18/12/2020 16:13,260832,Rags,7p2mwDoEBIQw927JW59cwE
Westside Gunn,18/12/2020 16:16,10521,327,5MvCurNMpM3WCCSs40cd37
Beast Coast,18/12/2020 16:16,188040,"Far Away (feat. Kirk Knight, Meechy Darko, Erick The Architect & Nyck Caution)",10nbIPV2SRLqEjIpvS8CVb
Drake,18/12/2020 18:04,358057,Pound Cake / Paris Morton Music 2,4RI9eX7jNcdaQOJifn7t6z
Lil Nas X,18/12/2020 18:06,148653,C7osure (You Like),4no0eHn4fEB7tN1yZSXMma
Amber Mark,18/12/2020 18:10,8034,Lose My Cool - Couros Remix,5SfNtcZeacegF9JSuqe8HQ
ATM Curly,18/12/2020 18:10,246256,Ride With Me,2foDaqiGEPFeYN2ecxLHZU
Honeyroot,18/12/2020 18:16,363173,Nobody Loves You (The Way I Do),3D2P3KIRaYBCJ7rhLgYXFe
Honeyroot,18/12/2020 18:20,190260,Heavy Drops,3bfPQdBlB61z8crSr7HxJC
Amber Mark,18/12/2020 18:23,186202,Lose My Cool - Couros Remix,5SfNtcZeacegF9JSuqe8HQ
BEAM,18/12/2020 18:25,132182,Cactus,1t741g1kw8T5lvupCmgddl
Lil Nas X,18/12/2020 18:27,100004,C7osure (You Like),
Lil Nas X,18/12/2020 21:29,48650,C7osure (You Like),
ATM Curly,18/12/2020 21:33,246256,Ride With Me,
Kid Cudi,18/12/2020 21:34,16623,Another Day,
Future,19/12/2020 17:58,258427,Mask Off (feat. Kendrick Lamar) - Remix,6dVZCbi9CYtD9LjAHXRjIG
Lil Uzi Vert,19/12/2020 17:58,13929,The Way Life Goes (feat. Oh Wonder),2eAZfqOm4EnOF9VvN50Tyc
PARTYNEXTDOOR,19/12/2020 18:02,197973,LOYAL (feat. Drake),3LnJM1B5Mjgx5LfT9plXUU
Baby Keem,19/12/2020 18:04,154037,Miss Charlotte,420ZJ2hWsQv7i8IuER1e9e
Aminé,19/12/2020 18:07,173947,Spice Girl,4HW5kSQ8M2IQWZhSxERvla
Kanye West,19/12/2020 18:09,97489,Black Skinhead,722tgOgdIbNe3BEyLnejw4
Big Sean,19/12/2020 19:13,1161,Jump Out The Window,1jQsKN68yE94tMYml0wHMd
Billz Raw,20/12/2020 17:52,4667,Money Up,3AjcVMOBCmdqHciNuPmWhV
Reaper,20/12/2020 17:52,45371,HEADY,7whm7HQKG3d6oLYWgc0kf8
RIN,20/12/2020 17:52,2670,Aretha Franklin Freestyle,5hKM3DaySvongkyGdvhacX
Jack Harlow,20/12/2020 17:55,156497,Tyler Herro,4DuUwzP4ALMqpquHU0ltAB
RÜFÜS DU SOL,20/12/2020 17:57,1416,Innerbloom,6CGMZijOAZvTXG21T8t6R0
Aminé,20/12/2020 17:57,1439,Riri,1VjNQAm7bG3MLIC5Cwb508
Cool Company,20/12/2020 17:57,106989,Bust It Open,1AW0ZYsdlWXkNXeuMDqM1C
JMSN,20/12/2020 17:57,2693,Love & Pain (Kaytranada Remix),14u0zLm6T13VV72Gggpll8
Jack Harlow,20/12/2020 17:57,22825,WHATS POPPIN,
Kanye West,20/12/2020 17:58,22801,Touch The Sky,
A$AP Rocky,20/12/2020 17:59,107252,Sundress,
Rae Sremmurd,20/12/2020 17:59,1695,Guatemala - From Swaecation,
Mura Masa,20/12/2020 17:59,2716,What If I Go? (feat. Bonzai),2tHfNQnj50VoMZga2rpfdA
Disclosure,20/12/2020 17:59,2182,Hourglass,1XJ9pFMafd9GB3cnb2V3yq
Garden City Movement,20/12/2020 18:00,5688,Terracotta,6UEsGxrMAXC0tOtYlrLHvZ
Chance the Rapper,20/12/2020 18:00,3065,Paranoia,6Oe5tmI1bfguCp6dKHbSj6
The Blaze,20/12/2020 18:00,3111,Queens,6EjTmLZVdDfp66yawG1CDb
JID,20/12/2020 18:00,1230,Hereditary,0fK60qLRIpyT05TXzoSBY0
Hermitude,20/12/2020 18:00,2972,HyperParadise - Flume Remix,1LQiF6aZfnNgxerxWJRbxw
J. Cole,20/12/2020 18:00,1834,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8
The Blaze,20/12/2020 18:04,2229,Territory,2W3EgJst61RLZtPPm3EQim
A$AP Rocky,20/12/2020 18:04,1811,Buck Shots,6ImrWnhjEOw5re3cGLMIHJ
ScHoolboy Q,20/12/2020 18:04,268817,Hell Of A Night,5DOR49R0fehoBmyNL8m4sN
Drake,20/12/2020 18:04,1160,Know Yourself,5InOp6q2vvx0fShv3bzFLZ
DaBaby,20/12/2020 18:04,2159,BOP,6Ozh9Ok6h4Oi1wUSLtBseN
J. Cole,20/12/2020 18:04,1486,Work Out,2wAJTrFhCnQyNSD3oUgTZO
Petit Biscuit,20/12/2020 18:04,2554,Burnin,
Garden City Movement,20/12/2020 18:05,1137,Lir,
Kanye West,20/12/2020 18:05,1764,Dark Fantasy,
J. Cole,20/12/2020 18:05,1811,She Knows (feat. Amber Coffman & Cults),
Famous Dex,20/12/2020 18:05,3250,JAPAN,
Labrinth,20/12/2020 18:05,1927,Still Don't Know My Name,6N22FZs2ZhPBYi3b9XPajV
Kendrick Lamar,20/12/2020 18:10,306410,"Bitch, Don’t Kill My Vibe",5h5tBFnbcVioFXiOixTn6E
Moksi,20/12/2020 18:11,100240,Gipsy,7mA03cPnG3UkLgf1ed87fI
Lil Nas X,20/12/2020 18:14,148653,C7osure (You Like),4no0eHn4fEB7tN1yZSXMma
Amber Mark,20/12/2020 18:17,44360,Lose My Cool - Couros Remix,5SfNtcZeacegF9JSuqe8HQ
Amber Mark,20/12/2020 20:12,110643,Lose My Cool - Couros Remix,5SfNtcZeacegF9JSuqe8HQ
Bakermat,20/12/2020 20:13,17368,Baianá,780be5fB7823aHG06mwTat
