source,target,weight
Kid Cudi,A$AP Mob,0.626295
Kid Cudi,Freddie Gibbs,0.6164075
Kid Cudi,Jay Rock,0.7487475
Kid Cudi,Bas,0.62838
Kid Cudi,KIDS SEE GHOSTS,0.512272
Kid Cudi,Childish Gambino,0.749555
Kid Cudi,Isaiah Rashad,0.62505
Kid Cudi,Denzel Curry,0.609215
Kid Cudi,Chance the Rapper,0.749335
Kid Cudi,Kevin Abstract,0.6367025
Kid Cudi,JID,0.619605
KIDS SEE GHOSTS,Pusha T,0.76066
KIDS SEE GHOSTS,Injury Reserve,0.50436325
KIDS SEE GHOSTS,WZRD,0.265137125
KIDS SEE GHOSTS,Danny Brown,0.75592875
KIDS SEE GHOSTS,JPEGMAFIA,0.75404725
KIDS SEE GHOSTS,Earl Sweatshirt,0.75171625
KIDS SEE GHOSTS,Death Grips,0.498589375
KIDS SEE GHOSTS,Westside Gunn,0.750159125
KIDS SEE GHOSTS,Freddie Gibbs,0.75643375
KIDS SEE GHOSTS,Madvillain,0.74854625
KIDS SEE GHOSTS,Kevin Abstract,0.7739225
KIDS SEE GHOSTS,Spellling,0.24728325
KIDS SEE GHOSTS,Denzel Curry,0.7519725
KIDS SEE GHOSTS,Saba,0.761615
KIDS SEE GHOSTS,redveil,0.24791375
KIDS SEE GHOSTS,Jay Electronica,0.75499625
KIDS SEE GHOSTS,Vince Staples,0.75914225
KIDS SEE GHOSTS,Odd Future,0.754873375
KIDS SEE GHOSTS,The Alchemist,0.7639225
KIDS SEE GHOSTS,JID,0.76049
