,artist,song_name,song_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key,popularity,release_date,artist_id
579,Wale,BYGPW (Colors),2vhwfg6YqfWJNNsx7m9oWX,0.84,0.0803,107.029,0.203,0.107,0.0,0.917,142059,-4.328,0.842,0,9,47,2020-06-19,67nwj3Y5sZQLl72VNUHEYE
580,Wale,JUNE 5th / QueenZnGodZ,1b4lViVfvHfLnNnEoQQSRI,0.839,0.0943,86.504,0.259,0.575,0.0,0.701,309615,-3.583,0.527,0,1,28,2020-06-19,67nwj3Y5sZQLl72VNUHEYE
581,Kendrick Lamar,Wesley's Theory,7Ks4VCY1wFebnOdJrM13t6,0.787,0.26,114.449,0.265,0.359,2.76e-05,0.509,287360,-6.754,0.507,1,7,66,2015-03-16,2YZyLoL8N0Wb9xBt1NhZWg
582,Kendrick Lamar,For Free? - Interlude,75izAeHlGuOgA865CFDyIv,0.896,0.37,129.313,0.197,0.588,0.0,0.526,130893,-4.708,0.745,1,8,58,2015-03-16,2YZyLoL8N0Wb9xBt1NhZWg
583,Kendrick Lamar,King Kunta,0N3W5peJUQtI4eyR6GJT5O,0.657,0.154,107.059,0.0977,0.00589,0.0,0.884,234693,-4.569,0.489,0,6,75,2015-03-16,2YZyLoL8N0Wb9xBt1NhZWg
584,Kendrick Lamar,Institutionalized,4oFtLSgHyZPNYDCcANhTnO,0.731,0.129,81.114,0.453,0.112,1.19e-06,0.539,271773,-5.085,0.568,0,3,62,2015-03-16,2YZyLoL8N0Wb9xBt1NhZWg
585,Kendrick Lamar,These Walls,7uWVT3UkCAZyANvv0bdyQn,0.489,0.202,108.005,0.137,0.11,3.57e-06,0.752,300973,-5.233,0.373,1,1,65,2015-03-16,2YZyLoL8N0Wb9xBt1NhZWg
586,Kendrick Lamar,untitled 02 | 06.23.2014.,3I0FBDc1c1BLNtXWKVjmFg,0.508,0.644,89.436,0.451,0.341,0.0,0.667,258827,-10.337,0.093,1,5,66,2016-03-04,2YZyLoL8N0Wb9xBt1NhZWg
587,Kendrick Lamar,Complexion (A Zulu Love),72hFOhhhnOJZnnp6uVOgPn,0.558,0.219,89.953,0.303,0.566,4.57e-06,0.665,263360,-7.863,0.37,0,2,58,2015-03-16,2YZyLoL8N0Wb9xBt1NhZWg
588,Kendrick Lamar,The Blacker The Berry,5Mtt6tZSZA9cXTHGSGpyh0,0.852,0.463,176.058,0.305,0.00713,0.0,0.553,328827,-4.08,0.27,0,10,62,2015-03-16,2YZyLoL8N0Wb9xBt1NhZWg
589,Kendrick Lamar,You Ain't Gotta Lie (Momma Said),7A3ETuOrieyx9KSF0sn0Zf,0.635,0.285,93.742,0.223,0.455,2.07e-05,0.443,241680,-5.404,0.672,0,11,59,2015-03-16,2YZyLoL8N0Wb9xBt1NhZWg
592,ScHoolboy Q,CrasH,6BKAKoo7J2vwJGZJs5dhGD,0.644,0.086,132.019,0.175,0.0311,0.0,0.825,161480,-6.001,0.79,1,1,62,2019-04-26,5IcR3N7QB1j6KBL8eImZ8m
594,Planet Giza,When The Moving Stops,3iEwa9W9ls7vLbZbe7vgSr,0.677,0.0816,92.014,0.266,0.0133,1.74e-05,0.744,208671,-5.877,0.287,1,1,49,2021-01-22,332mFY6yBda91AsIOSKirG
597,ScHoolboy Q,X (with 2 Chainz & Saudi),4LmAnpjlhWTahvRkYR8xJa,0.471,0.268,131.023,0.259,0.0201,0.0,0.768,267427,-8.406,0.405,1,2,69,2018-02-09,2YZyLoL8N0Wb9xBt1NhZWg
598,VIC MENSA,Liquor Locker,5YbrqNUUleF39Ai3b3ruQy,0.433,0.0545,78.479,0.235,0.0534,0.0,0.497,258120,-7.126,0.447,0,6,64,2016-06-03,27w1NoOLMX7tJMYqcetPyG
607,Sylvan LaCue,5:55,2auDZRtwblDyalfrnJrEKI,0.589,0.0869,77.461,0.0427,0.196,0.0168,0.674,239963,-9.382,0.0791,1,2,39,2018-01-12,0JuDxOwz1e3Wx05t8e3AT3
609,A$AP Rocky,Buck Shots,6ImrWnhjEOw5re3cGLMIHJ,0.85,0.356,159.956,0.416,0.325,0.0,0.433,167813,-5.79,0.58,0,10,56,2018-05-25,13ubrt8QOOCPljQ2FL1Kca
611,Lil Uzi Vert,Baby Pluto,4oPpljoKaKEZS7WQDQkVsm,0.634,0.432,160.052,0.212,0.135,0.0,0.772,210261,-6.101,0.671,0,10,10,2021-12-10,0LyfQWJT6nXafLPZqxe9Of
612,J. Cole,Rich Niggaz,6lKCaafKm88sVfYz2u7S4B,0.717,0.104,125.014,0.196,0.472,0.00239,0.586,276093,-8.546,0.306,0,8,65,2013-06-18,6l3HvQ5sa6mXTsMTB19rO5
619,Lil Uzi Vert,Venetia,3BYIzNZ3t9lRQCACXSMLrT,0.757,0.148,142.933,0.175,0.162,0.0,0.775,188800,-4.139,0.562,1,9,65,2020-03-06,4O15NlyKLIASxsJ0PrXPfz
620,Freddie Gibbs,Gang Signs (feat. ScHoolboy Q),6snYsavG9vq3C7RGN98dst,0.615,0.0812,52.145,0.346,0.265,0.0,0.626,166841,-6.142,0.611,1,1,67,2021-02-05,0Y4inQK6OespitzD6ijMwb
626,Mura Masa,Firefly (feat. NAO),62BvDgepVjmPeYKl9Ru1zu,0.407,0.084,110.014,0.0462,0.264,6.09e-05,0.763,228493,-8.782,0.472,1,10,42,2017-07-14,5Q81rlcTFh3k6DQJXPdsot
631,Jungle,Lucky I Got What I Want,2NMyineNKTsqONSTTPkorG,0.565,0.108,186.047,0.036,0.235,0.885,0.537,256805,-13.773,0.0969,1,5,54,2014-07-14,59oA5WbbQvomJz2BuRG071
636,Kendrick Lamar,i,3ODXRUPL44f04cCacwiCLC,0.809,0.72,120.094,0.324,0.708,0.0,0.541,336013,-4.286,0.753,1,8,61,2015-03-16,2YZyLoL8N0Wb9xBt1NhZWg
640,Flume,Rushing Back,2zoNNEAyPK2OGDfajardlY,0.612,0.158,136.046,0.0781,0.357,0.0,0.574,231663,-4.741,0.368,1,0,69,2019-09-25,6nxWCVXbOlEVRexSbLsTer
642,Kanye West,Wolves,432hUIl3ISDeytYW5XBQ5h,0.392,0.134,155.856,0.0925,0.219,0.00173,0.395,301587,-8.034,0.103,1,1,72,2016-06-10,5K4W6rqBFWDnAN6FQUkS6x
644,Dreamville,Under The Sun (with J. Cole & Lute feat. DaBaby),6MF4tRr5lU8qok8IKaFOBE,0.64,0.409,138.672,0.369,0.511,0.0,0.691,202040,-6.441,0.163,1,0,75,2019-07-05,1iNqsUDUraNWrj00bqssQG
646,Jaden,Again,6v1WjGvHYuwbtEmdWzN3XZ,0.577,0.168,81.499,0.0687,0.522,6.78e-05,0.62,269813,-6.479,0.12,1,1,55,2019-07-05,0xOeVMOz2fVg5BJY3N6akT
647,Franc Moody,Flesh and Blood,3ApDLA7FGUlDc7rNM4bzkb,0.578,0.0959,165.997,0.131,0.0895,0.000424,0.745,238612,-6.004,0.696,0,6,47,2020-02-28,10GT4yz8c6xjjnPGtGPI1l
650,Daft Punk,Doin' it Right (feat. Panda Bear),36c4JohayB9qd64eidQMBi,0.451,0.0924,178.061,0.0949,0.388,2.17e-05,0.804,251293,-8.207,0.19,1,6,64,2013-05-17,4tZwfgrHOc3mvqYlEYSvVi
651,YBN Nahmir,Opp Stoppa (feat. 21 Savage),59fFsGRwFiuhxKDPc1k6xW,0.343,0.179,78.035,0.102,0.00734,0.0,0.829,135431,-4.937,0.312,0,2,74,2021-01-22,3gGUMEwIX6XodWsYEvKSal
652,A$AP Rocky,Rich Nigga Problems,4i9ATUqGrKhfzQ0k8UnSBf,0.561,0.45,74.861,0.417,0.103,0.0,0.619,217294,-7.824,0.587,0,5,62,2021-02-12,13ubrt8QOOCPljQ2FL1Kca
653,Kota the Friend,Pomegranate,1jNKhbKmDgYSHHSCEeMXey,0.489,0.0954,79.175,0.444,0.136,0.0,0.637,109638,-9.157,0.373,1,2,60,2021-01-18,2AfU5LYBVCiCtuCCfM7uVX
654,NEZ,Wild Youngster (feat. ScHoolboy Q) - Jamie Jones' Wobble Remix,1TtrEMyrpxqpYWKOFdDRj1,0.754,0.251,126.98,0.0361,0.00271,0.755,0.754,192748,-8.416,0.524,1,2,46,2021-02-12,2Mwy2BwAUT3WU1cZa3pvEW
655,JID,Cludder,5JISV2O82kiiwdEzx7ZL9b,0.815,0.287,127.313,0.346,0.274,0.0019,0.563,192382,-5.944,0.523,1,1,50,2021-02-05,6U3ybJ9UHNKEdsH7ktGBZ7
656,Brent Faiyaz,"Gravity (feat. Tyler, The Creator)",6u3CPnFMKANYgfdiifFOiJ,0.615,0.144,163.924,0.252,0.173,0.0056,0.539,214693,-8.746,0.493,0,1,78,2021-01-29,3tlXnStJ1fFhdScmQeLpuG
657,Kanye West,Ultralight Beam,1eQBEelI2NCy7AUTerX0KS,0.403,0.54,105.169,0.414,0.62,0.0,0.592,320680,-8.768,0.391,0,0,73,2016-06-10,5K4W6rqBFWDnAN6FQUkS6x
658,Sunday Service Choir,Father Stretch,2tLH5EsewbZNvmWidJqzDF,0.675,0.673,122.968,0.483,0.214,0.0,0.39,351856,-7.77,0.191,0,4,52,2019-12-25,2c9O21YLFy4tFI9zCVhbFg
660,GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",2p37Mfy2PWajgOS3i2aaep,0.68,0.119,114.981,0.196,0.0471,0.000125,0.926,201240,-7.689,0.458,1,2,62,2019-06-12,5XenQ7XfcvQdfIbpLEFaKQ
661,Jay Electronica,A.P.I.D.T.A.,5wJC8qlivbwAx29bnTecSn,0.625,0.113,129.779,0.325,0.145,0.00481,0.498,328366,-10.678,0.403,1,0,53,2020-03-13,0TkqXdyWLsssJH7okthMPQ
662,BJ The Chicago Kid,Feel The Vibe,3KapR70eIR6Zm3kJfG4oB3,0.8,0.64,87.482,0.0506,0.188,0.000533,0.631,240884,-6.546,0.857,0,2,56,2019-07-26,07d5etnpjriczFBB8pxmRe
663,Jacob Collier,Time Alone With You (feat. Daniel Caesar),1iTiSQWPJNqthOMG8HG6gI,0.429,0.522,79.153,0.462,0.368,0.0,0.567,256240,-7.792,0.586,1,0,55,2020-08-14,0QWrMNukfcVOmgEU0FEDyD
664,Sunday Service Choir,Ultralight Beam,5anPHKl01TNpTe618GzX1m,0.26,0.0889,90.047,0.0425,0.467,0.0,0.34,200531,-10.626,0.149,0,10,48,2019-12-25,2c9O21YLFy4tFI9zCVhbFg
665,Knxwledge,itkanbe[sonice],0WywlY00pAWlwsjAOFzUAr,0.727,0.872,63.745,0.133,0.137,4.66e-06,0.225,103735,-3.042,0.729,0,6,43,2020-03-27,17Zu03OgBVxgLxWmRUyNOJ
666,Free Nationals,Time,7klPHv3HnXdUY3dSfTccNc,0.771,0.0789,88.968,0.338,0.518,0.000197,0.469,210385,-7.071,0.298,1,5,66,2019-12-13,4596e2d3KmYzAeVenjCxfj
669,Kendrick Lamar,Poetic Justice,3MLOAIJNWWS8FQpvdaiKR7,0.572,0.246,135.956,0.378,0.157,0.0,0.779,300160,-9.985,0.647,0,6,63,2012-10-22,2YZyLoL8N0Wb9xBt1NhZWg
671,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,0.613,0.267,149.972,0.128,0.00336,0.0,0.65,194621,-6.13,0.0804,0,9,84,2020-07-10,4MCBfE4596Uoi2O4DtmEMz
673,Aminé,My Reality,0Q9HulJie8Hxe2mx1q4nCy,0.877,0.106,179.868,0.28,0.177,0.0,0.38,189456,-3.955,0.402,1,5,44,2020-08-07,3Gm5F95VdRxW3mqCn8RPBJ
674,Aminé,BLACKJACK,6U9OkV9oa8kN8LyBGf3wvJ,0.563,0.059,131.023,0.246,0.184,0.0,0.962,117307,-6.372,0.899,1,2,59,2018-08-15,3Gm5F95VdRxW3mqCn8RPBJ
675,Mura Masa,Nuggets (feat. Bonzai),1UKd207NfxFvKpOiuguKhe,0.611,0.672,113.073,0.332,0.0554,0.0037,0.841,209587,-8.71,0.65,0,5,48,2017-07-14,5Q81rlcTFh3k6DQJXPdsot
695,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,0.73,0.0897,171.005,0.0598,0.00146,9.54e-05,0.514,200040,-5.934,0.334,1,1,93,2020-03-20,1Xyo4u8uXC1ZmMpatF05PJ
701,Flume,Smoke & Retribution,6q21cZEUoRayXMVf5JDlSD,0.574,0.0922,120.877,0.346,0.164,0.0,0.743,241282,-6.028,0.403,1,8,49,2016-05-27,6nxWCVXbOlEVRexSbLsTer
702,Kendrick Lamar,Hol' Up,6cfVDaIdvDtYH91RqC6Wox,0.869,0.137,155.983,0.345,0.781,0.0,0.607,173158,-5.271,0.577,1,5,61,2011-07-02,2YZyLoL8N0Wb9xBt1NhZWg
704,Disclosure,Ultimatum - Edit,0slkzFvyBWcwnjEEDtYE5E,0.706,0.0712,118.017,0.067,0.303,0.863,0.838,213382,-7.626,0.776,0,7,53,2018-05-17,6nS5roXSAGhTGr34W6n7Et
710,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),2eAZfqOm4EnOF9VvN50Tyc,0.757,0.106,82.008,0.05,0.617,0.0,0.703,221747,-3.612,0.696,1,1,82,2017-08-25,4O15NlyKLIASxsJ0PrXPfz
711,RÜFÜS DU SOL,Like An Animal,6dw1sbdCwW5sbsbcpq6QED,0.748,0.0897,119.994,0.0305,0.0341,0.000105,0.71,241580,-6.244,0.38,0,9,56,2016-01-22,5Pb27ujIyYb33zBqVysBkj
712,Daft Punk,Something About Us,1NeLwFETswx8Fzxl2AFl91,0.475,0.046,99.958,0.0986,0.44,0.72,0.875,232667,-12.673,0.384,0,9,71,2001-03-12,4tZwfgrHOc3mvqYlEYSvVi
713,Haddaway,"What Is Love - 7"" Mix",2ahnofp2LbBWDXcJbMaSTu,0.772,0.203,123.871,0.0311,0.0222,0.0149,0.683,270373,-7.907,0.737,0,7,72,1993-03-22,0Suv0tRrNrUlRzAy8aXjma
714,Cascada,Everytime We Touch,5YJtMNWKe55yr49cyJgxva,0.976,0.382,142.027,0.0519,0.00281,1.29e-05,0.633,197124,-5.362,0.493,1,8,74,2010-02-12,0N0d3kjwdY2h7UVuTdJGfp
715,Tinchy Stryder,Number 1,3uRIGDDdT4tztwsOSLmjZg,0.824,0.483,114.912,0.0377,0.0105,0.0,0.581,212773,-3.912,0.747,0,0,61,2009-01-01,7h2Y48bG543JDzEed383cx
718,Eric Prydz,Pjanoo - Radio Edit,0F2BxpbxH8Yc3pLub48hrb,0.874,0.112,125.99,0.0295,0.000563,0.812,0.605,157432,-4.949,0.836,0,7,68,2008-08-29,5sm0jQ1mq0dusiLtDJ2b4R
719,Daft Punk,One More Time,0DiWol3AO6WpXZgp0goxAV,0.697,0.332,122.746,0.133,0.0194,0.0,0.613,320357,-8.618,0.476,1,2,78,2001-03-12,4tZwfgrHOc3mvqYlEYSvVi
720,JAY-Z,Numb / Encore,5sNESr6pQfIhL3krM8CtZn,0.793,0.582,107.045,0.166,0.0603,0.0,0.687,205733,-4.254,0.751,1,2,78,2004-11-30,3nFkdlSjzX9mRTtwJOzDYB
723,Kanye West,Monster,1ZHYJ2Wwgxes4m8Ba88PeK,0.692,0.668,124.887,0.202,0.00244,0.0129,0.628,378893,-5.64,0.0963,1,2,74,2010-11-22,5K4W6rqBFWDnAN6FQUkS6x
725,Disclosure,Latch,51ODNNDZm21HU7wI7cccRr,0.727,0.0895,121.985,0.167,0.0159,9.45e-05,0.503,255632,-5.456,0.521,1,1,75,2013-06-03,6nS5roXSAGhTGr34W6n7Et
726,Jaden,On My Own,4D1eVq5AUILwjg3tAe7o6M,0.843,0.189,97.5,0.0422,0.0214,0.00345,0.344,244720,-3.711,0.219,0,1,67,2019-07-05,0xOeVMOz2fVg5BJY3N6akT
734,Kanye West,Famous,19a3JfW8BQwqHWUMbcqSx8,0.735,0.0975,173.935,0.117,0.0711,0.0,0.465,196040,-3.715,0.409,1,6,75,2016-06-10,5K4W6rqBFWDnAN6FQUkS6x
745,"Tyler, The Creator",EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,0.498,0.795,79.635,0.0685,0.23,5.98e-06,0.554,190067,-8.866,0.413,1,9,82,2019-05-17,4V8LLVI7PbaPR0K2TGSxFF
746,Frank Ocean,Novacane,4osgfFTICMkcGbbigdsa53,0.508,0.16,93.51,0.0919,0.0584,0.00126,0.762,302347,-9.112,0.37,1,3,75,2011-01-01,2h93pZq0e7k5yf4dywlkpM
749,Miguel,Sky Walker (feat. Travis Scott),5WoaF1B5XIEnWfmb5NZikf,0.506,0.0866,145.965,0.0434,0.173,0.0,0.674,259333,-10.532,0.183,1,6,76,2017-12-01,360IAlyVv4PCEVjgyMZrxK
750,"Tyler, The Creator",I THINK,4f8Mh5wuWHOsfXtzjrJB3t,0.579,0.129,121.075,0.0801,0.00881,0.0,0.826,212013,-8.241,0.431,0,8,74,2019-05-17,4V8LLVI7PbaPR0K2TGSxFF
752,Childish Gambino,IV. Sweatpants,00GOPLxW4PGQuUYdPJh8K1,0.47,0.643,80.027,0.142,0.154,0.0,0.71,180675,-9.33,0.581,0,1,72,2013-12-10,73sIBHcqh3Z3NyqHKZ7FOL
756,Frank Ocean,In My Room,4S4Mfvv03M1cHgIOJcbUCL,0.647,0.114,158.037,0.0675,0.594,0.661,0.861,133680,-7.425,0.67,1,7,79,2019-11-02,2h93pZq0e7k5yf4dywlkpM
757,"Tyler, The Creator",BEST INTEREST,3jHdKaLCkuNEkWcLVmQPCX,0.575,0.334,98.265,0.0514,0.0861,0.000153,0.596,127921,-8.325,0.34,0,11,77,2020-01-25,4V8LLVI7PbaPR0K2TGSxFF
758,Bakermat,Baianá,780be5fB7823aHG06mwTat,0.722,0.543,121.964,0.0709,0.000754,0.668,0.587,180843,-6.983,0.466,0,2,70,2020-10-09,3MyFDtqB80WZvbtCZRsekM
759,Bakermat,One Day (Vandaag) - Radio Edit,0GSU6yLOJqO10ziQuBLWOE,0.594,0.376,127.992,0.0307,0.716,0.0802,0.656,219333,-6.043,0.57,1,5,66,2014-03-14,3MyFDtqB80WZvbtCZRsekM
760,Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,0.862,0.303,122.98,0.126,0.0076,0.000132,0.824,169153,-3.424,0.801,1,2,88,2021-01-15,7i9j813KFoSBMldGqlh2Z1
763,iann dior,Pretty Girls,3fKdTr6Uv8HTb92Ih3QWxa,0.511,0.0916,96.946,0.0541,0.276,0.0,0.732,133608,-6.779,0.62,1,6,70,2020-06-12,6ASri4ePR7RlsvIQgWPJpS
766,Calvin Harris,Acceptable in the 80's,00cxhG668jV6gU6VK2FUVI,0.808,0.0466,127.99,0.0511,0.0143,0.257,0.787,333680,-5.454,0.942,1,7,59,2007-06-18,7CajNmpbOovFoOoasH2HaY
801,The Underachievers,See Through,2sLiYeeW35zEDxr5kRLeQD,0.671,0.14,77.492,0.278,0.0823,0.0,0.833,190937,-4.957,0.609,0,1,27,2018-11-09,51Pn4gGnZuyOMDfIT1Zy3N
802,Orion,P90X,33IL5PLi6K3jtW7lCUepx7,0.683,0.0763,159.997,0.154,0.0581,0.0,0.774,132703,-8.059,0.75,1,2,43,2016-05-17,2lEz6baaXcZhVZrX5RBkR0
803,The C!rcle,Dead Body,3uoCwqVCa7AjnHZHHliRxp,0.858,0.199,80.095,0.347,0.396,0.0,0.544,207279,-3.854,0.816,0,8,47,2019-08-08,0O2a7rwD6h8c5atrT84A5F
804,O2worldwide,RIDE TO THE SIDE,0sYS8WdBVEg2nqQNJhQuUl,0.626,0.129,82.969,0.273,0.148,0.0,0.751,161250,-7.692,0.607,0,6,46,2021-02-17,3FXk7WOqY2ZeSzCVJFHJUZ
806,CH4SINGTHEHIGH,Karma,2qVdZl2BCsyvXPsYLVDPXF,0.675,0.0965,158.688,0.053,0.333,0.000224,0.85,199533,-7.127,0.542,1,1,50,2019-11-08,4HcPkXBUwfjoWZdj8yETeR
808,Kasien,6FT UNDER,713wa4YNGDG9K4QrrN3fgp,0.646,0.0961,137.044,0.166,0.135,0.0,0.683,175547,-7.551,0.441,1,1,36,2018-09-21,5VFbrnGdINL3hcSOluMsCj
809,UnoTheActivist,Paper,7AsGB0lHuuPf07kiQURb8M,0.607,0.107,157.968,0.0519,0.0692,0.00178,0.775,199001,-6.011,0.281,1,7,50,2020-10-16,0bZ9jANLkwEFVcSnHnwrpb
810,Karmah,Smokin Dope,1mXLkd3IhrOBEE6fWTun2h,0.416,0.155,123.006,0.0797,0.0534,3.49e-05,0.748,210907,-9.744,0.21,0,5,41,2015-07-28,6FIH6zZwKvCoEwp2MnbesJ
811,Headie One,Only You Freestyle,4OENnoidV0h8gJV6bhrw7r,0.826,0.254,146.95,0.27,0.562,0.0,0.68,248937,-2.561,0.804,1,5,68,2020-07-20,6UCQYrcJ6wab6gnQ89OJFh
812,Travis Scott,90210 (feat. Kacy Hill),51EC3I1nQXpec4gDk0mQyP,0.526,0.105,81.404,0.0904,0.113,8.33e-06,0.402,339067,-6.741,0.312,0,9,78,2015-09-04,0Y5tJX1MQlPlqiwlOH1tJY
813,GOON DES GARCONS*,"""Quarter Century Freestyle""",2LT3JXsoCbsclzjVM7wwnE,0.714,0.0434,134.068,0.12,0.178,0.0,0.829,204251,-4.25,0.538,0,9,42,2017-05-25,5WyJhpNewRPUahSlrxkOeR
814,Princ£ Aureliu$,Drugs You Should Try It,5gkFeGjfH66fHvxBHeee1q,0.479,0.237,140.052,0.0427,0.806,0.00305,0.358,165590,-8.626,0.0395,0,1,55,2018-05-29,2Ua79mGpMUpBl5n1IROkR4
815,Rejjie Snow,ACID TRIP,6NIeVsDLQ60vgGy0AGXpkg,0.562,0.126,98.943,0.0367,0.0359,0.0,0.72,188293,-7.642,0.393,1,2,58,2017-05-17,3lLHpTOJ11tWiUNGYN14gt
816,PeeJay,4/20,5X7YxMiovqR0AsPDPG8UeV,0.413,0.11,137.055,0.202,0.215,1.1e-05,0.664,135315,-14.289,0.302,0,8,30,2017-07-04,67xe9WC2v9hWBkZjE1gAF3
840,Jack Harlow,SMELLS LIKE INCENSE,5xAR2kje4pVMHz0ipvp2VA,0.547,0.0852,100.033,0.0591,0.0167,0.0,0.952,144444,-5.533,0.31,0,9,59,2020-03-13,2LIk90788K0zvyj2JJVwkJ
841,Kool & The Gang,Celebration - Single Version,3udP5QEedjhCaxbHfogyEQ,0.856,0.092,121.65,0.0554,0.181,0.0367,0.885,296277,-5.396,0.9,1,1,1,2021-12-22,0LyfQWJT6nXafLPZqxe9Of
843,Ludovico Einaudi,Una mattina,5EawMO6xA3j2ocneufXbPd,0.0345,0.0827,120.953,0.0691,0.994,0.921,0.363,479048,-25.048,0.0364,0,9,4,2021-12-04,0LyfQWJT6nXafLPZqxe9Of
844,PNAU,Chameleon,1upULGQhXYE55yHDMPh1QG,0.936,0.335,119.982,0.0415,0.00162,0.000142,0.705,198021,-3.193,0.228,1,4,57,2017-11-10,6n28c9qs9hNGriNa72b26u
846,Disclosure,Holding On,19Az4r4Tb5VKSnajMPg8hb,0.804,0.241,124.004,0.333,0.139,0.000246,0.71,315000,-5.207,0.845,1,5,56,2015-09-25,6nS5roXSAGhTGr34W6n7Et
866,La Felix,I Wanna Know,0xGTpQrQSRS2o8TMYGCyOr,0.575,0.0721,93.02,0.0955,0.145,0.0269,0.819,320440,-7.195,0.733,0,5,41,2017-08-02,3PoWaGWGbWmC3DrCOyGXOj
880,Drake,Wants and Needs (feat. Lil Baby),65OVbaJR5O1RmwOQx0875b,0.449,0.119,136.006,0.286,0.0618,2.17e-06,0.578,192956,-6.349,0.1,1,1,85,2021-03-05,3TVXtAsR1Inumwj472S9r4
881,Drake,What’s Next,3aQem4jVGdhtg116TmJnHz,0.594,0.162,129.895,0.0485,0.0136,0.0,0.781,178154,-6.959,0.0628,0,0,80,2021-03-05,3TVXtAsR1Inumwj472S9r4
882,Kid Cudi,Beautiful Trip,4IIuCotvqijraSdnVLaFnM,0.513,0.882,133.971,0.632,0.972,0.953,0.331,37013,-15.392,0.42,0,11,57,2020-12-11,0fA0VVWsXO9YnASrzqfmYu
892,Luther Allison,Bad News Is Coming,1TRIYxcVJYPki5AX2hZzZT,0.496,0.0545,140.394,0.0375,0.713,0.254,0.639,445533,-6.844,0.467,0,1,54,2001-01-01,7EynH3keqfKUmauyaeZoxv
893,B.B. King,Chains And Things,5x7Oxaa9EEIx9nw17CC5yW,0.241,0.122,79.537,0.0314,0.593,0.195,0.56,293733,-15.385,0.341,0,4,59,1970-01-01,5xLSa7l4IV1gsQfhAMvl0U
894,Son Seals,Now That I'm Down,5KZrHPwscBkXturVJCJlM4,0.338,0.109,140.533,0.2,0.472,4.31e-06,0.49,362400,-13.657,0.463,1,2,48,1973,0phMS1UDPTZlxuEnarDUKt
895,Clarence Carter,Part Time Love,7p5Xpx7dd9wSPJF4Q4Nfbu,0.593,0.352,92.82,0.0597,0.468,2.19e-05,0.686,159707,-10.078,0.946,1,0,50,1968,7lffJlv0nRl0sIsHDmo0SB
896,Otis Rush,Double Trouble,7pzDaHQx6WFWtdx9PLPxcx,0.424,0.175,105.768,0.0392,0.669,0.00456,0.566,163440,-8.689,0.431,0,7,51,1956,1h0hOL3bVcYlg4xcSjU7fP
897,"Bobby ""Blue"" Bland",Ain't No Love In The Heart Of The City - Single Version,4qYHnP5AmKzXbJhciPV8si,0.376,0.0976,158.089,0.0431,0.933,0.86,0.518,233560,-18.248,0.744,0,9,62,1974-01-01,48nwxUvPJZkm8uPa7xMzmj
898,Magic Sam,All Your Love,73GEVn1tqk9bn0KbtWsiqj,0.7,0.102,80.623,0.163,0.843,0.324,0.433,176186,-8.197,0.8,1,11,51,2001,0XErJwG6aCEj7NpKsEZrrO
899,T-Bone Walker,Mean Old World,3gg0xEc2b4eEbYySLmfFU1,0.235,0.0663,87.226,0.0355,0.527,0.0112,0.73,247373,-15.276,0.624,1,0,52,2005-03-29,6nPKmEbQmR8jGZEm7ArOFX
900,Larry Davis,Texas Flood,7BbQQzr1suaBHpJDXDXIj9,0.277,0.2,99.83,0.0283,0.89,7.66e-05,0.467,163373,-12.101,0.535,1,8,48,1992-02-16,0LyfQWJT6nXafLPZqxe9Of
901,Albert Collins,"Cold, Cold Feeling",6kucNn22HB0qb2ZPa1BrNl,0.281,0.111,148.301,0.0379,0.137,0.0258,0.713,318840,-11.057,0.397,0,3,56,1978,1uFixbBAduJkFAeRKznkvW
902,Louis Jordan & His Tympany Five,Let The Good Times Roll,50y6y3iwBlKKev2U4a6GK5,0.401,0.319,104.956,0.0475,0.812,0.0,0.705,167227,-9.506,0.649,0,9,48,1975-01-01,2nRbxpnBMMbtMBWH5QdqH2
903,Jimmy Dawkins,Little Angel Child,512gC8sU5PxZAFrskHEfzk,0.638,0.199,122.621,0.0461,0.125,0.0285,0.5,239267,-7.262,0.746,1,2,49,1998-01-01,69mMUlfVNVGQsw733rBShc
904,Earl Hooker,You Don't Want Me,6ECnAHxGQilDe32zQqfdz3,0.464,0.166,113.001,0.0374,0.509,0.000214,0.593,316667,-16.925,0.763,1,7,49,1990-01-01,3Ev1WS21x5Jav9j214A19O
905,Lafayette Leake,Short Dressed Woman,6tilCYbheGMHo3Hw4F22hF,0.496,0.0853,110.932,0.0307,0.237,0.0723,0.767,252133,-11.399,0.751,1,10,50,1978,2lMEe12j43Se24Jrfk3pyl
906,Guitar Slim,The Things That I Used To Do,3NWDb3bbMBTArBblzG4jMX,0.303,0.0889,98.282,0.0384,0.812,0.0,0.48,180453,-13.675,0.643,1,5,47,1991-01-01,6fxCRWTrlk6wDMM4Gn421s
